Table 12: Total All Payers Per Capita State Estimates by State of Residence (1991 - 2014) - Hospital Services (Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,1090,1164,1215,1248,1274,1302,1333,1359,1411,1473,1577,1691,1813,1931,2059,2183,2297,2386,2542,2659,2734,2875,2966,3079,0.046,,
New England,1227,1305,1368,1401,1419,1453,1508,1555,1601,1677,1815,1972,2179,2343,2475,2717,2901,3040,3259,3407,3495,3608,3701,3780,0.050,,
Connecticut,1178,1246,1284,1319,1306,1333,1371,1422,1461,1491,1605,1733,1852,2001,2021,2211,2310,2450,2684,2830,2981,3115,3268,3326,0.046,,
Maine,998,1055,1116,1178,1266,1353,1421,1478,1559,1655,1778,1917,2109,2311,2541,2733,2893,3076,3221,3455,3679,3817,3838,3953,0.062,,
Massachusetts,1387,1478,1560,1591,1586,1625,1682,1742,1772,1861,2030,2205,2459,2624,2777,3055,3287,3401,3602,3718,3725,3817,3872,3933,0.046,,
New Hampshire,968,1066,1132,1100,1143,1159,1183,1198,1265,1356,1454,1620,1828,1995,2188,2466,2688,2830,3151,3363,3456,3542,3674,3771,0.061,,
Rhode Island,1159,1213,1257,1303,1396,1407,1514,1500,1537,1633,1768,1927,2080,2258,2374,2548,2693,2894,3069,3189,3321,3396,3469,3617,0.051,,
Vermont,927,993,1046,1111,1211,1205,1269,1319,1474,1570,1656,1819,2156,2306,2565,2885,3070,3262,3578,3796,4011,4257,4527,4670,0.073,,
Mideast,1296,1389,1463,1514,1538,1550,1575,1589,1633,1710,1808,1934,2084,2225,2362,2518,2644,2708,2876,2999,3085,3207,3321,3433,0.043,,
Delaware,1165,1242,1351,1417,1469,1416,1533,1554,1610,1617,1730,1885,2142,2305,2527,2672,2861,2951,3043,3368,3528,3680,3922,4078,0.056,,
District of Columbia,2413,2662,2834,2851,2838,3030,3039,3129,3195,3057,3214,3430,3694,4030,4410,4541,4680,4796,4952,4916,5088,5113,5181,5233,0.034,,
Maryland,1126,1192,1258,1284,1326,1372,1396,1405,1450,1510,1639,1758,1913,2072,2229,2373,2536,2684,2810,2930,3049,3109,3158,3283,0.048,,
