Table 17: Total All Payers Per Capita State Estimates by State of Residence (1991 - 2014) - Nursing Care Facilities and Continuing Care Retirement Communities (Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,195,206,215,222,241,257,272,287,289,301,319,329,345,359,377,389,415,428,440,453,465,469,472,479,0.040,,
New England,353,366,380,396,430,453,480,513,509,523,548,562,585,606,641,662,710,722,722,718,720,721,720,724,0.032,,
Connecticut,420,434,457,487,533,556,594,621,648,667,691,694,720,733,779,804,852,873,862,858,858,847,842,854,0.031,,
Maine,287,303,312,316,335,342,350,360,371,380,403,407,429,456,481,485,503,519,534,533,541,587,598,590,0.032,,
Massachusetts,375,384,392,407,441,470,499,546,520,535,562,580,601,626,659,686,747,753,753,740,734,727,720,720,0.029,,
New Hampshire,205,220,248,265,296,315,342,351,341,341,357,389,408,432,461,473,497,524,535,548,566,575,579,584,0.046,,
Rhode Island,314,357,368,366,390,402,421,455,468,486,510,538,566,583,620,636,668,673,671,685,705,723,738,742,0.038,,
Vermont,219,223,230,242,263,286,301,307,306,327,354,357,380,399,428,439,474,472,469,499,516,530,546,563,0.042,,
Mideast,255,268,280,294,320,344,364,394,411,427,454,471,495,520,541,556,589,605,617,643,651,645,645,650,0.041,,
Delaware,199,203,211,216,233,251,271,312,323,351,383,368,381,435,472,460,524,567,611,614,599,592,593,608,0.050,,
District of Columbia,340,372,371,380,410,432,428,446,448,460,467,531,562,585,611,626,660,661,686,677,654,632,593,583,0.024,,
Maryland,187,197,214,232,252,263,279,306,308,321,363,369,402,445,481,509,549,574,594,617,626,624,619,626,0.054,,
New Jersey,224,239,247,257,292,314,330,354,357,369,371,395,409,447,468,483,527,556,564,563,561,567,565,565,0.041,,
New York,289,299,310,325,345,368,382,418,449,463,490,510,528,546,561,563,585,602,613,620,634,619,615,619,0.034,,
Pennsylvania,251,267,283,297,330,363,397,423,437,461,498,514,551,569,590,620,657,658,667,747,754,754,763,774,0.050,,
Great Lakes,221,241,250,255,272,289,305,319,324,343,364,373,391,405,425,440,470,484,494,507,519,529,535,544,0.040,,
Illinois,209,221,228,235,250,259,270,286,293,308,323,329,336,349,365,383,416,434,444,470,486,499,509,517,0.040,,
Indiana,265,287,294,295,312,322,330,344,342,359,382,390,407,426,459,478,512,525,544,547,554,560,562,580,0.035,,
Michigan,166,175,180,184,200,215,229,240,246,265,280,290,306,317,334,349,372,392,408,424,448,463,470,478,0.047,,
Ohio,241,283,296,302,321,350,374,395,402,428,462,480,507,524,546,555,590,594,589,589,595,594,601,605,0.041,,
Wisconsin,261,268,282,288,309,327,347,356,353,367,386,386,407,421,440,451,475,490,509,520,527,541,538,553,0.033,,
Plains,267,276,283,286,307,326,344,362,366,381,400,411,425,438,461,466,495,510,525,533,552,564,571,585,0.035,,
Iowa,268,282,289,291,313,333,348,371,394,412,435,443,462,485,505,522,563,582,591,598,614,626,633,662,0.040,,
Kansas,233,240,245,248,268,285,310,326,332,349,361,367,385,401,428,431,462,473,493,498,531,551,559,567,0.039,,
Minnesota,349,356,356,347,360,366,367,386,387,399,414,427,437,446,465,470,497,512,532,534,544,561,569,585,0.023,,
Missouri,226,235,246,251,280,307,337,351,349,362,379,384,388,400,421,427,452,470,478,486,506,514,521,531,0.038,,
Nebraska,225,231,249,270,294,322,343,361,357,374,406,433,455,465,498,498,531,530,541,563,585,591,598,605,0.044,,
North Dakota,296,304,307,318,337,349,351,365,376,405,443,479,503,512,539,556,587,604,647,691,709,704,726,745,0.041,,
South Dakota,229,239,254,269,296,321,342,369,372,389,413,434,493,508,523,485,502,527,554,557,566,572,573,574,0.041,,
Southeast,154,167,177,187,207,226,246,256,254,263,279,290,309,324,343,357,383,394,403,413,429,428,428,429,0.046,,
Alabama,133,147,153,159,180,201,228,246,257,267,285,292,305,320,343,353,374,382,376,380,386,385,387,391,0.048,,
Arkansas,172,184,192,204,228,250,266,273,269,280,297,317,338,351,374,385,410,415,422,433,434,439,440,440,0.042,,
Florida,179,196,208,220,246,266,287,302,287,295,308,330,347,353,361,374,406,423,440,460,494,492,492,489,0.045,,
Georgia,131,131,147,158,159,179,190,198,197,205,212,217,227,243,261,261,271,280,276,283,292,296,299,294,0.036,,
Kentucky,175,193,204,215,244,267,291,297,298,309,318,322,352,366,379,400,431,446,447,452,467,464,466,476,0.044,,
Louisiana,163,183,188,178,186,191,198,210,214,222,238,250,271,283,302,319,351,365,365,375,385,390,393,399,0.040,,
Mississippi,131,145,149,155,157,170,197,211,215,227,244,259,286,324,356,377,409,422,425,432,446,441,440,450,0.055,,
North Carolina,154,166,181,196,219,240,257,268,267,278,294,313,338,364,389,397,425,428,436,447,455,450,449,453,0.048,,
South Carolina,114,121,127,138,153,166,179,189,197,210,236,239,265,278,309,330,358,361,365,384,390,385,376,383,0.054,,
Tennessee,159,175,189,204,239,270,309,303,286,286,308,303,321,338,366,389,407,408,424,418,431,425,412,413,0.042,,
Virginia,132,139,150,158,174,194,215,224,232,249,266,275,289,297,318,334,364,386,409,416,430,432,437,438,0.053,,
West Virginia,187,201,214,221,242,260,276,295,301,311,325,335,358,389,433,453,493,503,507,510,518,521,529,539,0.047,,
Southwest,134,139,145,149,162,172,179,185,185,191,200,202,214,223,234,239,257,268,275,286,297,302,305,311,0.037,,
Arizona,129,127,145,155,177,196,169,163,160,165,172,174,181,184,193,198,217,232,235,258,276,284,284,286,0.035,,
New Mexico,108,115,109,107,112,111,116,118,129,147,163,175,184,192,202,203,217,228,234,237,259,266,277,283,0.043,,
Oklahoma,179,184,192,193,211,221,237,256,246,250,271,276,308,322,339,327,352,381,380,363,364,389,397,408,0.036,,
Texas,129,136,140,144,155,164,177,184,186,191,198,199,210,219,231,239,257,263,273,285,295,297,299,305,0.038,,
Rocky Mountains,140,149,153,159,171,181,188,193,192,199,212,215,228,236,255,254,275,292,308,318,332,340,343,346,0.040,,
Colorado,152,161,166,171,185,202,213,215,212,217,229,234,247,256,278,279,306,326,344,356,371,379,383,385,0.041,,
Idaho,141,152,155,156,167,170,173,185,184,192,205,210,225,241,259,257,276,295,318,318,347,353,362,366,0.042,,
Montana,182,186,185,206,233,237,248,263,258,270,300,299,323,319,334,324,362,378,395,403,401,406,413,422,0.037,,
Utah,95,105,109,107,113,115,121,123,127,136,141,141,147,153,167,168,175,188,199,208,221,227,228,230,0.039,,
Wyoming,141,149,165,195,206,210,211,212,209,220,244,249,266,283,305,309,323,335,349,361,377,387,390,385,0.044,,
Far West,128,135,140,142,157,163,168,180,177,190,203,211,221,228,241,255,274,294,316,331,349,362,370,389,0.049,,
Alaska,77,85,83,82,85,86,88,107,123,148,179,157,163,166,167,166,172,171,170,171,173,179,188,204,0.043,,
California,118,125,130,131,142,153,159,172,167,181,196,203,214,219,230,247,265,285,308,324,341,352,360,383,0.052,,
Hawaii,128,130,129,126,129,138,150,164,167,177,180,210,220,236,262,277,304,319,335,334,335,336,346,350,0.045,,
Nevada,88,96,91,92,87,88,84,88,103,117,127,130,138,148,156,151,168,182,193,207,224,242,248,250,0.046,,
Oregon,159,162,164,175,184,190,196,212,215,225,232,239,242,270,295,305,332,355,383,401,424,438,445,467,0.048,,
Washington,186,199,208,212,263,238,243,247,244,254,262,274,289,292,310,313,336,361,380,398,423,449,453,462,0.040,,
"SOURCES: U.S. Census Bureau; and Centers for Medicare and Medicaid Services, Office of the Actuary, National HealthStatistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
