Table 18: Total All Payers Per Capita State Estimates by State of Residence (1991 - 2014) - Drugs and Other Non-durable Products (Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,267,274,282,294,319,349,386,424,484,541,601,665,734,789,832,898,941,957,988,983,999,996,1014,1114,0.064,,
New England,271,279,286,284,336,368,407,459,529,596,662,745,823,901,1007,1038,1079,1100,1134,1114,1130,1136,1190,1302,0.071,,
Connecticut,290,300,306,317,367,398,435,494,571,638,720,801,908,993,1201,1216,1294,1301,1347,1308,1313,1309,1350,1476,0.073,,
Maine,232,239,241,256,285,325,381,424,479,534,588,675,764,819,855,962,1006,1017,1029,1000,1011,996,1052,1159,0.073,,
Massachusetts,269,275,284,275,333,364,406,455,521,591,656,744,804,891,941,973,1001,1029,1057,1046,1068,1077,1130,1250,0.069,,
New Hampshire,275,285,287,286,320,343,378,423,491,548,596,644,723,780,926,956,993,1008,1050,1038,1061,1080,1154,1222,0.067,,
Rhode Island,287,291,305,283,367,412,441,501,591,679,759,840,942,1008,1153,1138,1166,1191,1239,1216,1215,1235,1263,1411,0.072,,
Vermont,240,247,243,240,267,293,328,374,443,497,539,620,679,725,840,862,864,910,941,948,983,1022,1158,1158,0.071,,
Mideast,284,292,302,315,354,395,441,490,556,625,698,782,875,949,1017,1061,1105,1129,1187,1187,1203,1171,1229,1360,0.07,,
Delaware,295,305,309,321,342,382,437,502,590,667,726,826,881,954,984,1111,1158,1221,1237,1244,1288,1287,1356,1525,0.074,,
District of Columbia,264,267,271,241,309,335,346,358,395,431,467,503,589,673,707,797,890,947,1052,1041,1031,1021,1034,1171,0.067,,
Maryland,287,291,303,319,331,364,413,451,501,564,662,767,828,852,901,1015,1053,1044,1079,1064,1050,1032,1067,1147,0.062,,
New Jersey,302,312,326,345,389,428,477,536,614,692,760,821,918,984,1125,1152,1176,1197,1254,1209,1200,1179,1209,1355,0.067,,
New York,269,276,285,299,337,381,423,466,532,605,675,762,869,966,1018,1048,1099,1140,1214,1239,1276,1217,1289,1435,0.075,,
Pennsylvania,293,304,315,322,370,410,462,520,582,641,717,804,888,955,1008,1048,1093,1107,1150,1150,1165,1158,1225,1345,0.069,,
Great Lakes,264,271,285,303,331,367,402,437,498,549,611,676,734,783,790,854,884,895,932,935,962,955,975,1059,0.062,,
Illinois,252,256,267,290,318,354,386,418,483,530,585,626,676,730,757,823,861,884,931,940,956,939,936,1006,0.062,,
Indiana,276,289,302,317,351,376,402,432,504,564,631,707,771,803,813,868,885,887,922,934,967,997,1031,1119,0.063,,
Michigan,287,295,310,319,346,383,415,447,503,553,616,684,754,821,782,857,891,907,946,951,982,975,1006,1106,0.060,,
Ohio,261,266,283,305,335,374,420,456,512,565,629,724,785,823,834,884,905,894,913,905,938,926,944,1023,0.061,,
Wisconsin,243,252,267,286,306,342,377,425,484,541,603,639,681,726,760,841,876,906,960,961,984,969,1011,1103,0.068,,
Plains,250,259,265,278,297,325,359,405,473,532,601,672,740,787,831,906,939,944,962,981,1017,1031,1041,1131,0.068,,
Iowa,257,267,269,279,287,321,350,389,441,482,547,624,709,757,825,929,961,952,970,977,1030,1049,1042,1148,0.067,,
Kansas,263,273,282,287,299,334,374,420,489,551,625,706,752,784,815,871,904,916,929,939,998,1058,1044,1119,0.065,,
Minnesota,234,240,249,269,292,325,361,407,465,522,582,643,702,746,780,852,885,880,881,885,886,873,899,955,0.063,,
Missouri,259,267,272,282,305,321,353,404,492,564,641,724,805,851,896,967,988,1005,1041,1076,1130,1147,1145,1273,0.072,,
Nebraska,258,268,277,292,308,346,382,431,498,555,617,649,716,797,836,909,958,964,1001,1042,1075,1108,1155,1242,0.071,,
North Dakota,240,249,259,285,301,337,352,408,474,548,641,724,797,861,934,1056,1148,1167,1147,1178,1130,1075,1104,1175,0.072,,
South Dakota,218,225,224,246,264,292,317,349,387,413,480,549,592,615,676,724,760,760,761,774,819,854,881,949,0.066,,
Southeast,275,281,291,309,335,368,410,452,522,590,654,721,794,865,907,973,1009,1027,1069,1065,1075,1076,1077,1178,0.065,,
Alabama,288,298,313,331,346,382,438,476,541,607,679,776,862,958,1000,1103,1155,1194,1260,1259,1242,1272,1283,1407,0.071,,
Arkansas,255,261,264,281,300,338,366,400,451,483,542,624,686,735,795,887,968,996,1055,1055,1057,1036,1047,1169,0.068,,
