Table 20: Total All Payers Per Capita State Estimates by State of Residence (1991 - 2014) - Other Health Residential and Personal Care (Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,108,115,129,142,156,171,183,202,212,227,246,267,284,305,322,339,360,377,402,417,422,443,456,475,0.066,,
New England,190,193,220,252,291,314,316,364,383,405,426,473,491,534,561,595,640,684,759,761,728,773,797,800,0.065,,
Connecticut,200,223,250,281,310,316,325,364,400,418,413,458,419,508,488,541,543,657,839,810,666,779,775,790,0.062,,
Maine,214,174,209,224,259,318,352,463,533,569,632,759,822,917,956,982,993,1062,1095,1031,1013,965,994,1100,0.074,,
Massachusetts,197,189,213,255,304,322,312,353,354,376,396,432,471,474,531,569,639,654,699,721,729,764,787,774,0.061,,
New Hampshire,92,99,122,150,171,216,202,239,220,241,242,257,258,293,320,340,366,406,437,455,479,557,615,571,0.083,,
Rhode Island,220,272,310,305,355,393,418,495,533,548,608,663,695,767,801,830,908,895,900,910,891,869,911,888,0.063,,
Vermont,139,145,179,210,245,285,277,307,338,390,448,499,535,586,531,470,566,573,662,720,709,725,810,837,0.081,,
Mideast,157,185,207,227,243,270,295,326,350,369,395,429,477,498,529,572,595,615,660,701,728,714,700,744,0.07,,
Delaware,108,132,147,174,184,204,214,242,250,266,267,282,357,408,397,403,399,412,428,437,477,496,544,591,0.077,,
District of Columbia,285,348,407,411,389,381,414,461,469,504,517,506,502,559,583,473,501,465,542,1030,1056,984,997,1098,0.060,,
Maryland,82,96,105,116,132,162,161,168,171,184,188,197,234,241,260,313,323,340,381,423,423,441,457,482,0.080,,
New Jersey,97,86,96,119,132,151,170,176,186,196,214,241,264,282,306,364,351,375,392,412,454,439,413,478,0.072,,
New York,198,236,271,296,322,354,389,434,472,489,525,578,648,675,709,766,820,839,906,940,969,930,908,936,0.07,,
Pennsylvania,160,203,219,234,242,264,290,327,352,382,411,438,473,494,533,554,560,585,619,665,692,702,689,747,0.069,,
Great Lakes,117,124,133,141,156,171,184,199,197,215,240,258,275,293,312,310,320,330,348,365,368,384,396,410,0.056,,
Illinois,113,123,134,139,152,172,190,211,213,228,251,279,283,300,339,334,351,353,367,402,392,413,452,439,0.061,,
Indiana,121,123,130,136,139,145,155,172,170,184,205,233,268,290,284,291,298,322,341,344,341,340,349,372,0.050,,
Michigan,112,104,117,130,148,163,200,191,166,173,185,186,192,190,218,222,220,230,241,263,280,300,291,273,0.039,,
Ohio,111,134,137,147,164,174,170,197,205,231,259,287,327,351,356,355,368,382,413,445,435,457,466,542,0.072,,
Wisconsin,141,139,153,163,180,205,204,222,229,264,318,305,306,351,365,346,353,355,372,322,362,365,367,363,0.042,,
Plains,148,134,155,180,199,220,229,262,274,298,328,366,389,410,416,425,446,468,493,506,513,536,563,578,0.061,,
Iowa,155,154,173,190,211,229,248,275,278,298,314,335,361,384,408,435,446,465,508,542,549,563,593,616,0.062,,
Kansas,112,90,106,127,144,176,206,252,282,306,329,352,337,368,386,395,401,400,427,406,418,421,454,417,0.059,,
Minnesota,256,206,236,284,309,330,322,370,385,419,484,565,646,665,643,646,694,726,737,760,757,785,800,867,0.054,,
Missouri,85,90,109,129,144,162,170,192,199,215,232,251,249,263,273,278,290,313,333,335,357,386,429,413,0.071,,
Nebraska,83,80,92,99,111,133,152,173,185,211,234,263,274,286,302,313,322,343,380,396,364,390,401,412,0.072,,
North Dakota,207,220,233,246,257,276,276,312,326,373,382,412,416,455,471,490,509,552,599,681,721,743,762,811,0.061,,
South Dakota,118,126,142,174,190,210,205,220,226,234,246,278,267,298,325,330,371,391,409,423,431,457,454,468,0.062,,
Southeast,71,80,92,103,114,123,133,144,152,166,183,194,202,222,234,246,276,295,315,321,321,331,336,347,0.072,,
Alabama,61,71,76,82,92,99,138,113,115,138,144,163,187,200,215,223,254,273,273,284,314,303,309,324,0.076,,
Arkansas,78,93,103,119,131,142,152,164,183,194,195,194,191,239,268,282,303,322,362,461,490,515,567,635,0.096,,
Florida,64,72,86,100,109,116,116,123,134,148,174,177,186,187,191,202,219,230,234,242,220,230,244,254,0.062,,
Georgia,47,53,60,69,75,82,91,96,100,104,114,134,134,176,160,149,208,172,177,177,187,225,251,259,0.077,,
Kentucky,55,59,69,70,76,86,101,124,133,155,171,185,200,227,250,278,306,322,358,402,392,399,406,477,0.098,,
Louisiana,152,180,201,209,207,209,219,236,241,248,248,259,279,310,326,359,394,444,457,501,483,503,493,479,0.051,,
Mississippi,47,62,70,74,82,91,114,121,141,163,197,218,219,258,258,272,288,320,346,379,399,409,411,452,0.103,,
North Carolina,85,88,111,124,140,158,172,193,198,214,224,237,245,264,288,340,369,414,453,388,369,341,293,267,0.051,,
South Carolina,92,117,128,126,135,148,159,185,202,215,248,243,236,260,257,247,246,278,270,274,271,280,262,288,0.051,,
Tennessee,58,62,68,83,114,117,128,150,151,168,194,207,217,241,284,278,328,334,366,347,359,381,395,391,0.087,,
Virginia,51,57,65,76,83,93,96,106,115,131,136,150,151,165,185,203,232,293,337,356,388,393,412,420,0.096,,
West Virginia,100,106,137,187,214,235,244,272,274,287,305,338,387,399,420,416,440,464,510,551,595,665,675,710,0.089,,
Southwest,82,78,90,99,109,124,141,154,162,172,179,199,211,224,239,257,269,287,299,309,298,292,318,339,0.064,,
Arizona,86,77,82,88,98,104,110,124,135,133,145,163,187,214,239,290,316,348,386,409,329,313,322,347,0.063,,
New Mexico,88,71,86,105,135,171,166,167,170,190,207,245,276,342,393,429,416,426,399,409,363,364,361,354,0.062,,
Oklahoma,97,103,112,132,146,160,167,190,200,214,240,261,247,262,276,305,327,356,372,358,361,366,370,359,0.059,,
Texas,78,74,88,96,103,118,142,154,162,173,175,193,205,211,220,227,236,250,258,269,275,271,305,333,0.065,,
Rocky Mountains,106,103,117,124,134,151,148,166,173,192,211,223,237,254,261,272,285,300,316,330,318,342,344,350,0.053,,
Colorado,116,116,126,139,152,167,161,179,183,197,209,218,232,249,249,251,261,277,296,292,300,323,304,290,0.041,,
Idaho,83,78,87,90,95,107,122,146,157,189,217,229,234,261,280,282,309,319,333,442,295,332,364,383,0.068,,
Montana,100,129,143,149,147,171,154,165,169,203,235,218,249,271,296,306,324,363,380,424,434,482,503,546,0.077,,
Utah,112,88,109,103,113,130,129,143,155,170,196,217,226,234,240,270,278,285,294,283,296,315,336,361,0.052,,
Wyoming,67,77,108,134,149,182,188,207,211,229,248,295,321,343,362,392,398,417,431,419,441,440,420,416,0.082,,
Far West,76,79,86,94,102,111,120,129,142,148,162,180,188,213,228,247,268,277,300,313,335,418,457,480,0.083,,
Alaska,97,84,96,106,123,149,161,187,206,243,295,354,402,402,468,460,499,543,555,610,666,779,800,797,0.096,,
California,69,72,78,86,94,101,111,115,125,128,141,160,169,200,213,237,260,264,284,294,324,434,471,495,0.090,,
Hawaii,49,45,53,66,80,64,68,80,96,108,119,133,157,178,188,173,233,234,188,167,163,165,162,174,0.056,,
Nevada,55,58,57,57,64,69,74,82,89,103,112,128,124,123,130,135,134,137,156,190,198,205,217,244,0.067,,
Oregon,143,157,176,187,202,220,218,253,289,304,339,358,365,383,402,421,439,465,547,573,595,583,684,793,0.077,,
Washington,91,86,95,99,107,126,134,154,173,187,193,197,198,211,236,243,253,278,302,317,302,336,372,346,0.060,,
"SOURCES: U.S. Census Bureau; and Centers for Medicare and Medicaid Services, Office of the Actuary, National HealthStatistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
