Table 3: Total All Payers State Estimates by State of Residence (1991 - 2014) - Physician and Clinical Services (Millions of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,175750,190156,201417,210479,220303,228423,239143,256929,270034,288745,313323,338353,365102,390299,414050,435759,458562,482925,498724,513144,536395,558024,569542,597137,0.055,,
New England,9191,9864,10538,10840,11567,11928,12758,13926,14411,15532,17032,18441,19379,20710,21648,23046,24534,25953,27101,27710,28939,30129,30566,31385,0.055,,
Connecticut,2686,2792,2847,3021,3321,3339,3510,3787,3833,4120,4554,4845,5068,5505,5434,5794,6202,6569,6799,6939,7161,7522,7562,7852,0.048,,
Maine,648,716,781,762,820,870,954,1032,1157,1274,1451,1555,1683,1755,1823,1838,1896,1956,2045,2056,2086,2151,2164,2240,0.055,,
Massachusetts,4270,4641,5072,5125,5320,5498,5972,6527,6664,7148,7776,8651,9023,9482,10124,10954,11809,12563,13184,13506,14225,14783,15026,15280,0.057,,
New Hampshire,656,729,765,834,911,1005,1054,1220,1347,1414,1521,1515,1607,1828,1959,2068,2211,2344,2477,2570,2712,2806,2878,2960,0.068,,
Rhode Island,639,678,741,747,821,815,829,887,909,991,1066,1149,1221,1319,1463,1521,1560,1631,1687,1709,1766,1838,1866,1956,0.050,,
Vermont,291,308,331,350,374,401,438,472,502,585,663,726,777,819,845,872,856,890,909,929,989,1029,1070,1097,0.059,,
Mideast,31152,33937,35655,37810,39436,40110,41590,43804,46713,49926,54134,57799,61840,65239,68399,72135,76683,80807,83773,85585,89610,93253,95813,99587,0.052,,
Delaware,504,539,567,620,638,662,722,759,900,954,1016,1153,1329,1398,1455,1520,1602,1738,1811,1853,1967,2026,2010,2112,0.064,,
District of Columbia,611,671,673,688,693,651,636,631,656,710,798,878,916,1021,934,940,1028,1110,1126,1185,1314,1385,1497,1619,0.043,,
Maryland,3828,4075,4363,4761,4767,4923,5042,4927,5625,6063,6428,6992,7545,8115,8360,8930,9446,9938,10320,10646,11101,11704,12005,12611,0.053,,
New Jersey,6005,6793,6870,7324,8024,8037,8430,8846,9395,10369,11145,11888,12163,12872,13966,14577,16120,17071,17611,17784,18664,19625,20321,21148,0.056,,
New York,11904,13258,14052,14682,15426,15790,16361,17822,18188,19110,21261,22551,24332,25251,26330,28400,29309,30557,31775,32458,33798,34687,35686,36941,0.050,,
Pennsylvania,8300,8601,9131,9736,9889,10047,10399,10818,11949,12720,13486,14337,15555,16582,17354,17769,19177,20392,21131,21660,22766,23826,24293,25156,0.049,,
Great Lakes,27412,29352,31116,32510,33640,34704,35508,37953,40305,43358,47500,51444,54790,57855,60983,64385,67324,70622,72947,75114,78218,81745,82941,86623,0.051,,
Illinois,7564,8168,8734,9205,9508,9903,10235,11181,11452,12432,13153,14622,15550,16235,17000,18134,19082,19912,20642,21435,22121,22986,23388,24139,0.052,,
Indiana,3326,3631,3984,4093,4116,4286,4440,4948,5317,5610,6283,6633,7202,7749,8318,8913,9173,9549,9648,10027,10587,11302,11744,12144,0.058,,
Michigan,6044,6278,6465,6782,7077,7312,7489,7867,8387,8843,9393,9953,10493,11121,11731,12356,12735,13635,14401,14848,15788,16335,16448,17232,0.047,,
