Table 5: Total All Payers State Estimates by State of Residence (1991 - 2014) - Dental Services (Millions of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,33397,37133,39006,41558,44615,46943,50292,53600,57255,62066,67601,73444,76005,81749,86691,91146,97029,101939,102307,105032,107106,108771,110141,112832,0.054,,
New England,2117,2314,2360,2459,2612,2734,2995,3211,3488,3720,4042,4417,4539,4887,5130,5419,5798,6177,6296,6425,6586,6595,6654,6778,0.052,,
Connecticut,639,696,671,691,729,754,820,858,941,999,1081,1207,1224,1325,1360,1402,1500,1579,1577,1618,1624,1654,1664,1684,0.043,,
Maine,145,165,172,182,188,201,220,237,257,288,294,326,341,371,392,405,438,449,476,512,542,500,498,501,0.055,,
Massachusetts,944,1023,1127,1154,1209,1256,1372,1491,1627,1723,1888,2022,2070,2210,2342,2504,2712,2947,3002,3024,3129,3133,3171,3241,0.055,,
New Hampshire,162,177,141,163,192,216,257,264,291,310,357,415,438,482,519,561,574,609,636,653,673,682,682,708,0.066,,
Rhode Island,153,171,162,176,193,202,210,235,237,250,257,265,278,297,300,320,330,343,349,353,352,350,351,354,0.037,,
Vermont,75,83,88,93,101,105,117,126,136,151,165,182,189,203,216,225,243,250,256,266,267,277,288,290,0.061,,
Mideast,6334,6848,7053,7475,7983,8258,8754,8938,9556,10131,11169,12245,12656,13557,14329,15055,15727,16215,16147,16724,16993,17218,17447,17719,0.046,,
Delaware,90,107,112,127,147,173,174,171,198,217,228,242,259,286,300,309,332,363,367,381,396,375,372,383,0.065,,
District of Columbia,94,106,105,116,130,137,141,135,148,152,151,170,170,179,187,208,218,244,245,258,275,266,275,270,0.047,,
Maryland,695,748,775,819,874,913,967,924,1012,1109,1217,1369,1422,1537,1647,1747,1877,1928,1968,2035,2075,2184,2187,2219,0.052,,
New Jersey,1322,1442,1436,1558,1738,1870,1937,2096,2101,2195,2406,2652,2664,2912,3065,3288,3422,3522,3425,3454,3468,3583,3625,3683,0.046,,
New York,2605,2838,2925,2981,3220,3264,3480,3614,3873,4052,4556,4982,5172,5472,5791,6144,6431,6623,6660,6768,6887,6847,6969,7127,0.045,,
Pennsylvania,1528,1607,1701,1873,1874,1901,2054,1999,2224,2405,2613,2830,2969,3171,3338,3360,3446,3536,3482,3827,3893,3962,4018,4037,0.043,,
Great Lakes,5392,6017,6287,6685,7221,7649,8055,8506,9084,10041,10978,11752,12012,12819,13506,14012,14662,15190,15438,16192,16455,16179,16193,16469,0.050,,
