Table 9: Total All Payers State Estimates by State of Residence (1991 - 2014) - Durable Medical Equipment  (Millions of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,13081,13498,14140,15318,15860,17432,19218,21358,23022,25165,25135,27131,28512,30370,32364,34409,37073,37678,37813,39925,42259,43679,45062,46622,0.057,,
New England,632,642,644,704,736,810,894,993,1079,1176,1168,1251,1328,1437,1563,1680,1819,1846,1881,1995,2105,2182,2235,2319,0.058,,
Connecticut,161,163,159,177,189,208,234,262,285,312,305,318,329,346,372,391,415,416,417,443,463,480,486,506,0.051,,
Maine,50,52,53,56,56,60,65,71,76,82,85,93,98,105,116,131,146,149,156,163,170,173,177,183,0.058,,
Massachusetts,306,308,320,347,358,389,427,472,512,556,552,595,637,698,758,820,895,909,926,983,1041,1082,1111,1150,0.059,,
New Hampshire,55,58,50,59,67,80,90,100,109,119,119,130,141,155,172,181,192,196,202,215,228,237,244,254,0.069,,
Rhode Island,38,38,38,39,40,44,48,54,59,65,65,70,77,85,92,101,112,114,117,125,131,135,139,145,0.061,,
Vermont,23,23,24,25,26,29,31,35,38,42,42,46,47,49,53,56,60,62,63,67,72,75,78,81,0.057,,
Mideast,2093,2056,2181,2383,2499,2757,3055,3391,3662,4045,4074,4405,4546,4798,5045,5280,5566,5643,5733,6088,6422,6621,6827,7071,0.054,,
Delaware,48,52,55,61,67,76,85,95,103,110,107,110,114,123,131,140,150,152,156,162,170,174,179,184,0.060,,
District of Columbia,33,34,35,38,40,44,48,52,55,56,55,60,60,62,62,65,65,68,64,68,73,74,75,76,0.036,,
Maryland,227,230,240,260,269,298,328,364,393,432,437,478,504,526,543,564,593,605,628,663,696,713,727,751,0.053,,
New Jersey,445,430,444,494,521,581,646,745,828,953,965,1065,1062,1096,1107,1129,1153,1172,1182,1240,1301,1328,1363,1418,0.052,,
New York,742,716,778,858,913,1011,1134,1232,1302,1413,1443,1545,1632,1763,1934,2069,2254,2279,2317,2466,2589,2665,2734,2834,0.060,,
Pennsylvania,598,595,629,672,689,748,814,902,982,1081,1067,1146,1174,1227,1268,1313,1349,1368,1385,1488,1592,1668,1748,1807,0.049,,
Great Lakes,2246,2325,2422,2597,2667,2902,3146,3481,3727,4079,4015,4284,4559,4855,5219,5628,6140,6235,6270,6628,7059,7294,7586,7830,0.056,,
Illinois,474,479,513,554,575,629,680,760,827,900,894,963,1005,1088,1152,1239,1319,1341,1341,1410,1496,1550,1614,1652,0.056,,
Indiana,335,346,354,381,395,434,474,524,565,616,606,650,668,703,743,791,851,868,873,923,978,1014,1051,1082,0.052,,
Michigan,676,700,723,776,801,881,967,1049,1131,1251,1223,1275,1389,1537,1707,1907,2118,2144,2140,2278,2431,2504,2612,2708,0.062,,
Ohio,523,548,573,612,620,660,704,806,846,934,918,994,1075,1078,1139,1171,1293,1310,1328,1403,1502,1553,1613,1668,0.052,,
Wisconsin,238,251,258,274,276,297,321,342,357,378,374,402,423,449,478,521,560,571,588,615,651,673,697,719,0.049,,
Plains,910,938,985,1085,1124,1239,1364,1496,1592,1703,1671,1780,1816,1885,1950,1996,2091,2179,2190,2316,2493,2593,2684,2754,0.049,,
Iowa,167,172,174,183,181,192,204,232,252,275,272,294,296,304,307,314,322,339,345,361,395,408,422,433,0.042,,
Kansas,109,113,113,127,130,147,162,181,196,214,214,237,238,253,257,264,281,297,297,309,335,343,358,363,0.054,,
Minnesota,267,278,296,334,352,389,434,465,491,514,484,500,511,525,545,553,574,590,581,625,667,692,712,735,0.045,,
Missouri,190,196,210,236,247,276,307,336,358,386,393,425,433,449,471,480,504,521,529,553,579,605,627,646,0.055,,
Nebraska,111,113,120,125,128,139,151,168,177,189,188,202,212,222,232,243,259,269,273,287,315,325,339,348,0.051,,
North Dakota,32,33,36,40,42,47,52,57,61,64,62,65,65,67,67,69,71,79,81,90,101,117,119,122,0.061,,
South Dakota,34,34,37,41,43,48,54,57,58,60,57,58,61,65,70,74,80,85,85,92,101,103,107,108,0.052,,
Southeast,3592,3771,3957,4267,4387,4854,5389,5996,6475,7126,7146,7746,8186,8817,9477,10133,11012,11088,11153,11800,12425,12752,13132,13560,0.059,,
Alabama,202,209,211,224,226,245,264,306,344,391,405,452,459,475,495,516,541,550,560,599,626,640,663,686,0.055,,
Arkansas,86,89,91,96,96,103,111,132,151,174,182,208,206,210,217,224,227,235,241,253,270,287,298,308,0.057,,
Florida,1282,1371,1464,1582,1613,1795,2023,2209,2326,2554,2526,2702,2909,3214,3553,3876,4244,4199,4126,4400,4639,4707,4858,5025,0.061,,
Georgia,376,385,410,444,467,515,569,633,683,744,746,809,850,922,1007,1090,1160,1157,1163,1209,1291,1310,1362,1410,0.059,,
Kentucky,192,201,206,214,211,228,245,277,303,336,346,378,393,410,434,464,502,516,530,561,592,611,631,657,0.055,,
Louisiana,184,191,192,201,200,214,230,258,282,314,316,348,349,359,367,350,368,382,384,406,423,443,459,471,0.042,,
Mississippi,110,120,118,125,124,134,142,171,197,229,241,277,295,316,332,350,381,392,404,427,447,461,482,493,0.067,,
North Carolina,359,366,392,434,470,535,613,659,702,745,725,756,794,858,929,1018,1144,1155,1180,1242,1288,1351,1359,1411,0.061,,
South Carolina,179,188,198,212,222,242,271,307,336,369,373,414,444,474,505,547,599,612,623,652,682,703,724,745,0.064,,
Tennessee,221,229,238,263,267,303,320,369,412,458,470,513,559,590,614,619,691,704,721,765,806,840,866,888,0.062,,
Virginia,289,306,322,352,370,411,464,517,565,619,626,680,716,766,795,842,900,918,939,989,1042,1072,1096,1123,0.061,,
West Virginia,112,116,117,122,121,128,137,157,174,192,190,209,214,224,228,238,255,268,282,298,320,328,335,343,0.050,,
